VARNAMES: CID REDSHIFT_CMB_ERR
SN: 16116 0.000019
SN: 16165 0.000500
SN: 16185 0.000060
SN: 16206 0.000028
SN: 16211 0.000046
SN: 16213 0.005000
SN: 16215 0.000023
SN: 16232 0.000050
SN: 16259 0.000023
SN: 16276 0.005000
SN: 16280 0.000011
SN: 16281 0.000058
SN: 16287 0.000013
SN: 16314 0.000011
SN: 16333 0.000015
SN: 16350 0.000033
SN: 16352 0.000021
SN: 16357 0.000500
SN: 16392 0.000043
SN: 16402 0.000500
SN: 16414 0.000009
SN: 16421 0.000500
SN: 16442 0.000080
SN: 16473 0.000161
SN: 16482 0.000039
SN: 16541 0.000500
SN: 16567 0.000076
SN: 16578 0.000500
SN: 16618 0.000020
SN: 16619 0.000500
SN: 16631 0.000500
SN: 16637 0.000015
SN: 16641 0.000500
SN: 16644 0.000015
SN: 16692 0.000022
SN: 16737 0.005000
SN: 16748 0.000013
SN: 16758 0.000051
SN: 16774 0.000058
SN: 16776 0.000022
SN: 16779 0.000500
SN: 16781 0.005000
SN: 16789 0.000044
SN: 16793 0.000500
SN: 16836 0.005000
SN: 16847 0.000031
SN: 16872 0.000027
SN: 1688 0.000015
SN: 16894 0.000500
SN: 16899 0.000500
SN: 16938 0.000167
SN: 16953 0.000027
SN: 16956 0.000500
SN: 170078 0.001000
SN: 170428 0.001000
SN: 17048 0.000097
SN: 170532 0.001000
SN: 17081 0.000046
SN: 17106 0.000500
SN: 17117 0.000008
SN: 17168 0.000014
SN: 17171 0.000026
SN: 17174 0.000009
SN: 17176 0.000010
SN: 17186 0.000018
SN: 17208 0.005000
SN: 17215 0.000043
SN: 17218 0.000014
SN: 17220 0.000028
SN: 17223 0.000500
SN: 17240 0.000020
SN: 17253 0.000026
SN: 17258 0.000008
SN: 17263 0.000054
SN: 17274 0.000031
SN: 17280 0.000012
SN: 17332 0.000074
SN: 17340 0.000033
SN: 17366 0.000013
SN: 17389 0.000013
SN: 17391 0.000500
SN: 17435 0.000500
SN: 17460 0.005000
SN: 17464 0.000500
SN: 17497 0.000023
SN: 17500 0.000008
SN: 17528 0.000500
SN: 17552 0.000036
SN: 17568 0.000500
SN: 17605 0.000016
SN: 17629 0.000022
SN: 17745 0.000013
SN: 17784 0.000013
SN: 17790 0.005000
SN: 17791 0.000500
SN: 17801 0.000500
SN: 17809 0.000030
SN: 17811 0.000500
SN: 17825 0.005000
SN: 17875 0.000033
SN: 17880 0.000009
SN: 17884 0.000024
SN: 17886 0.000011
SN: 1794 0.000063
SN: 180166 0.001000
SN: 18030 0.000015
SN: 180313 0.001000
SN: 180561 0.001000
SN: 18091 0.000028
SN: 18241 0.000500
SN: 18298 0.000022
SN: 18323 0.000015
SN: 18325 0.000033
SN: 18375 0.000017
SN: 18415 0.000022
SN: 18456 0.000050
SN: 18463 0.000023
SN: 18466 0.000500
SN: 18485 0.000500
SN: 18486 0.000600
SN: 18602 0.000022
SN: 18604 0.000023
SN: 18612 0.000020
SN: 18617 0.000062
SN: 18650 0.000027
SN: 18697 0.000010
SN: 18721 0.000077
SN: 18740 0.000026
SN: 18749 0.000033
SN: 18751 0.000022
SN: 18768 0.005000
SN: 18782 0.000027
SN: 18787 0.000054
SN: 18804 0.000061
SN: 18807 0.000500
SN: 18809 0.000026
SN: 18835 0.000035
SN: 18839 0.000500
SN: 18855 0.000014
SN: 18890 0.000015
SN: 18927 0.000500
SN: 18940 0.000035
SN: 18945 0.000500
SN: 18965 0.000029
SN: 19002 0.000047
SN: 19003 0.000035
SN: 19008 0.000500
SN: 190209 0.001000
SN: 19023 0.005000
SN: 190230 0.001000
SN: 190237 0.001000
SN: 19025 0.005000
SN: 190260 0.001000
SN: 19027 0.000013
SN: 19029 0.000034
SN: 19033 0.000500
SN: 190340 0.001000
SN: 19051 0.000033
SN: 19070 0.000103
SN: 19101 0.000500
SN: 19128 0.005000
SN: 19149 0.000012
SN: 19155 0.000014
SN: 19174 0.000500
SN: 19207 0.000500
SN: 19211 0.000500
SN: 19230 0.000500
SN: 19282 0.000500
SN: 19341 0.000048
SN: 19353 0.000014
SN: 19381 0.000500
SN: 19543 0.005000
SN: 19596 0.000500
SN: 19604 0.005000
SN: 19616 0.000008
SN: 19626 0.000015
SN: 19632 0.000075
SN: 19658 0.000500
SN: 19702 0.000500
SN: 1972E 0.000033
SN: 19757 0.005000
SN: 19775 0.000026
SN: 19794 0.000045
SN: 1980N 0.000033
SN: 19818 0.000012
SN: 1981B 0.000010
SN: 1981D 0.000033
SN: 1986G 0.000033
SN: 19899 0.000500
SN: 1989B 0.000007
SN: 1990N 0.000018
SN: 1990O 0.000097
SN: 1990T 0.000150
SN: 1990Y 0.000093
SN: 1990af 0.000150
SN: 19913 0.000500
SN: 1991M 0.000009
SN: 1991S 0.000012
SN: 1991T 0.000017
SN: 1991U 0.000150
SN: 1991ag 0.000027
SN: 1991bg 0.000020
SN: 1992A 0.000150
SN: 1992G 0.000013
SN: 1992J 0.000090
SN: 1992K 0.000018
SN: 1992P 0.000008
SN: 1992ae 0.000090
SN: 1992ag 0.000150
SN: 1992al 0.000027
SN: 1992aq 0.000090
SN: 1992au 0.000410
SN: 1992bc 0.000130
SN: 1992bg 0.000150
SN: 1992bh 0.002000
SN: 1992bk 0.000047
SN: 1992bl 0.000183
SN: 1992bo 0.000150
SN: 1992bp 0.002000
SN: 1992br 0.002000
SN: 1992bs 0.000150
SN: 1993B 0.000090
SN: 1993H 0.000040
SN: 1993L 0.000150
SN: 1993O 0.000230
SN: 1993ac 0.000090
SN: 1993ae 0.000150
SN: 1993ag 0.000150
SN: 1993ah 0.000213
SN: 19940 0.000800
SN: 1994D 0.000037
SN: 1994DRichmond 0.000037
SN: 1994M 0.000009
SN: 1994Q 0.000009
SN: 1994S 0.000010
SN: 1994T 0.000010
SN: 1994ae 0.000009
SN: 19953 0.000018
SN: 1995D 0.000017
SN: 1995E 0.000001
SN: 1995ac 0.000017
SN: 1995ak 0.000028
SN: 1995al 0.000060
SN: 1995bd 0.000090
SN: 19968 0.000016
SN: 19969 0.000010
SN: 1996C 0.000025
SN: 1996X 0.000150
SN: 1996Z 0.000150
SN: 1996ab 0.005000
SN: 1996ai 0.000048
SN: 1996bk 0.000017
SN: 1996bl 0.000090
SN: 1996bo 0.000005
SN: 1996bv 0.000017
SN: 1997 0.002000
SN: 1997E 0.000120
SN: 1997Y 0.000006
SN: 1997bp 0.000150
SN: 1997bq 0.000019
SN: 1997bq_B 0.000019
SN: 1997bq_JB 0.000019
SN: 1997br 0.000150
SN: 1997cn 0.000048
SN: 1997cw 0.000100
SN: 1997dg 0.000050
SN: 1997do 0.000023
SN: 1997dt 0.000018
SN: 1998D 0.000140
SN: 1998V 0.000025
SN: 1998ab 0.000012
SN: 1998aq 0.000012
SN: 1998bp 0.000044
SN: 1998bu 0.000042
SN: 1998co 0.000150
SN: 1998de 0.000043
SN: 1998dh 0.000018
SN: 1998dk 0.000013
