VARNAMES: CID HOSTGAL_sSFR
SN: 2006ke -9.895050
SN: 2006kf -12.625200
SN: 2006le -11.129500
SN: 2006lf -11.129500
SN: 2006lu -9.278240
SN: 2006mo -10.039600
SN: 2006mq -37.124100
SN: 2006mr -10.755800
SN: 2006nz -109.352000
SN: 2006oa -8.895620
SN: 2006ob -9.584370
SN: 2006on -29.437500
SN: 2006or -11.129500
SN: 2006os -10.039600
SN: 2006ot -12.194400
SN: 2006ou -9.123870
SN: 2006py -16.437800
SN: 2006qo -11.129500
SN: 2006sr -10.170200
SN: 2006td -9.730400
SN: 2006te -10.630500
SN: 2007ae -9.181960
SN: 2007ai -9.299570
SN: 2007aj -10.163900
SN: 2007al -12.567800
SN: 2007ap -8.832810
SN: 2007ar -20.774500
SN: 2007as -9.584370
SN: 2007au -8.832810
SN: 2007ax -12.567800
SN: 2007ba -10.468000
SN: 2007bc -11.135700
SN: 2007bd -9.181960
SN: 2007bj -10.474900
SN: 2007bm -9.278240
SN: 2007bz -9.056690
SN: 2007ca -9.109760
SN: 2007cb -9.278240
SN: 2007cc -10.334400
SN: 2007cg -9.584370
SN: 2007ci -20.774500
SN: 2007cn -9.584370
SN: 2007co -9.278240
SN: 2007cp -9.730400
SN: 2007cq -9.056690
SN: 2007cs -11.129500
SN: 2007cv -12.193700
SN: 2007ev -9.722030
SN: 2007fb -11.129500
SN: 2007fq -11.129500
SN: 2007fs -10.170200
SN: 2007hg -9.123870
SN: 2007hj -11.129500
SN: 2007hu -11.764200
SN: 2007hx -9.762740
SN: 2007ir -9.722030
SN: 2007is -10.538500
SN: 2007jd -9.056690
SN: 2007jg -8.830120
SN: 2007jh -12.567800
SN: 2007kd -11.129500
SN: 2007kg -8.830120
SN: 2007kh -9.049690
SN: 2007kk -9.181960
SN: 2007le -8.936450
SN: 2007mm -11.129500
SN: 2007nq -12.567800
SN: 2007ob -16.445000
SN: 2007ol -16.445000
SN: 2007on -12.618400
SN: 2007qe -8.929880
SN: 2007rx -21.220600
SN: 2007so -11.129500
SN: 2007ss -9.278240
SN: 2007st -9.123870
SN: 2007su -9.730400
SN: 2007sw -8.832810
SN: 2007ux -11.135700
SN: 2008ac -9.109760
SN: 2008ad -11.129400
SN: 2008ae -9.577330
SN: 2008af -12.567800
SN: 2008ai -10.474900
SN: 2008ar -9.242680
SN: 2008at -11.129500
SN: 2008bc -9.584370
SN: 2008bd -14.005500
SN: 2008bf -11.129500
SN: 2008bi -12.198500
SN: 2008bq -9.584370
SN: 2008bt -10.630500
SN: 2008bw -9.584370
SN: 2008by -9.056690
SN: 2008bz -9.458400
SN: 2008cc -16.445000
SN: 2008cd -9.730400
SN: 2008cf -9.722030
SN: 2008dh -9.722030
SN: 2008dr -11.129500
SN: 2008ds -9.400290
SN: 2008dt -11.764200
SN: 2008dx -12.625200
SN: 2008ec -10.170200
SN: 2008eg -9.109760
SN: 2008ek -10.170200
SN: 2008eo -9.299570
SN: 2008eq -9.730400
SN: 2008ff -11.124500
SN: 2008fk -9.458400
SN: 2008fl -9.584370
SN: 2008fp -10.334400
SN: 2008fr -8.868870
SN: 2008fu -9.242680
SN: 2008fw -8.826680
SN: 2008gb -8.826680
SN: 2008gg -10.170200
