VARNAMES: CID REDSHIFT_CMB
SN: 1302141 0.608798
SN: 1302187 0.219428
SN: 13025 0.222867
SN: 1302523 0.423916
SN: 1302648 0.231715
SN: 1303004 0.294957
SN: 130308 0.082207
SN: 1303279 0.172738
SN: 1303496 0.179787
SN: 13038 0.104845
SN: 1303883 0.259114
SN: 1303952 0.562628
SN: 1304127 0.728608
SN: 13044 0.124553
SN: 1304442 0.224514
SN: 13045 0.179155
SN: 130451 0.224762
SN: 1304678 0.218839
SN: 130514 0.105644
SN: 1305504 0.495595
SN: 1305626 0.325727
SN: 1306029 0.428955
SN: 1306073 0.328588
SN: 1306141 0.332400
SN: 1306299 0.470984
SN: 1306360 0.454785
SN: 1306390 0.409112
SN: 1306537 0.479481
SN: 1306626 0.420895
SN: 1306785 0.575352
SN: 1306980 0.548856
SN: 1306991 0.421994
SN: 13070 0.197186
SN: 1307073 0.774649
SN: 13072 0.229165
SN: 1307277 0.411143
SN: 130755 0.292905
SN: 1307830 0.359485
SN: 1308314 0.406479
SN: 1308326 0.326224
SN: 1308568 0.643050
SN: 1308582 0.367047
SN: 130862 0.332902
SN: 1308751 0.299080
SN: 1308884 0.076584
SN: 1308957 0.618693
SN: 1309288 0.267939
SN: 130943 0.291676
SN: 130945 0.266736
SN: 1309492 0.333526
SN: 1309749 0.789292
SN: 13099 0.264514
SN: 1310338 0.438835
SN: 1310395 0.288988
SN: 1312274 0.424506
SN: 13135 0.103375
SN: 1313594 0.288349
SN: 13136 0.370464
SN: 1314897 0.336629
SN: 1315192 0.227143
SN: 13152 0.202157
SN: 1315259 0.228061
SN: 1315296 0.412579
SN: 1316 0.215656
SN: 1316385 0.147408
SN: 1316431 0.198148
SN: 1316437 0.471962
SN: 1316465 0.329095
SN: 1317164 0.154592
SN: 1317277 0.237110
SN: 1317286 0.281983
SN: 1317454 0.568834
SN: 1317612 0.104575
SN: 1317666 0.141201
SN: 1318142 0.320739
SN: 1318737 0.073747
SN: 1319366 0.234828
SN: 1319821 0.308809
SN: 1320166 0.448961
SN: 1322229 0.526131
SN: 1322979 0.529390
SN: 1324542 0.541543
SN: 1325358 0.779307
SN: 13254 0.179903
SN: 1327978 0.206992
SN: 1328066 0.448904
SN: 1328105 0.441540
SN: 1329166 0.731626
SN: 1329196 0.769335
SN: 1329312 0.344792
SN: 1329615 0.403608
SN: 1330031 0.105629
SN: 1330044 0.421575
SN: 1330426 0.259544
SN: 13305 0.213386
SN: 1330642 0.633923
SN: 1330903 0.564298
SN: 1331123 0.221570
SN: 1331993 0.719619
SN: 1332059 0.578843
SN: 1332413 0.608725
SN: 13327 0.280698
SN: 1333246 0.437744
SN: 1333438 0.399457
SN: 1333483 0.273087
SN: 1334084 0.133494
SN: 1334087 0.266292
SN: 1334302 0.454630
SN: 1334423 0.357912
SN: 1334448 0.516869
SN: 1334470 0.518761
SN: 1334597 0.288960
SN: 1334620 0.196244
SN: 1334623 0.332815
SN: 1334644 0.288055
SN: 1334645 0.247014
SN: 1334707 0.649640
SN: 1334858 0.627375
SN: 1334879 0.639357
SN: 13354 0.156539
SN: 1335472 0.505976
SN: 1335564 0.606202
SN: 1335694 0.259118
SN: 1335717 0.304780
SN: 1335718 0.699333
SN: 1335868 0.619423
SN: 1336002 0.394970
SN: 1336008 0.437647
SN: 1336009 0.341756
SN: 1336272 0.744942
SN: 1336453 0.184924
SN: 1336480 0.256048
SN: 1336662 0.181563
SN: 1336687 0.233810
SN: 1336975 0.110603
SN: 13370 0.198463
SN: 1337117 0.553887
SN: 1337221 0.668758
SN: 1337228 0.577412
SN: 1337272 0.502757
SN: 1337325 0.638664
SN: 1337649 0.261505
SN: 1337655 0.848519
SN: 1337687 0.328699
SN: 1337703 0.532260
SN: 1337838 0.311947
SN: 1338128 0.311847
SN: 1338170 0.386766
SN: 1338233 0.601489
SN: 1338266 0.648458
SN: 1338278 0.564309
SN: 1338387 0.583824
SN: 1338430 0.517182
SN: 1338471 0.531170
SN: 1338649 0.613280
SN: 1338675 0.330481
SN: 1338843 0.129588
SN: 1339002 0.302961
SN: 1339149 0.468799
SN: 1339392 0.181484
SN: 1339450 0.550484
SN: 1340454 0.419967
SN: 13411 0.161801
SN: 1341370 0.409004
SN: 1341894 0.312943
SN: 1342255 0.218861
SN: 13425 0.211147
SN: 1343208 0.495008
SN: 1343337 0.338999
SN: 1343401 0.382836
SN: 1343533 0.368439
SN: 1343759 0.506172
SN: 1343871 0.637871
SN: 1344274 0.159143
SN: 1344692 0.379354
SN: 1345553 0.317950
SN: 1345582 0.458778
SN: 1345594 0.422418
SN: 1345798 0.347934
SN: 1345899 0.066649
SN: 1346137 0.363263
SN: 1346387 0.344483
SN: 1346956 0.333527
SN: 1346966 0.335132
SN: 1347120 0.179553
SN: 13506 0.243412
SN: 13511 0.236527
SN: 13518 0.299810
SN: 13578 0.227690
SN: 13610 0.296830
SN: 13641 0.217813
SN: 13655 0.261734
SN: 13689 0.250295
SN: 1371 0.117973
SN: 13727 0.225338
SN: 13736 0.148822
SN: 13757 0.289626
SN: 13796 0.147294
SN: 13830 0.329846
SN: 13835 0.246039
SN: 13894 0.123564
SN: 13934 0.329313
SN: 13956 0.262902
SN: 140152 0.208636
SN: 140181 0.102311
SN: 14019 0.215128
SN: 14024 0.147587
SN: 14108 0.134633
SN: 14157 0.210831
SN: 14212 0.203080
SN: 14261 0.284364
SN: 14279 0.044288
SN: 14284 0.180372
SN: 14298 0.268792
SN: 14318 0.056583
SN: 14331 0.219756
SN: 14397 0.384923
SN: 14421 0.174003
SN: 14437 0.147917
SN: 14451 0.177286
SN: 14456 0.327936
SN: 14481 0.242067
SN: 14735 0.299363
SN: 14782 0.159218
SN: 14815 0.135052
SN: 14816 0.105890
SN: 14846 0.223346
SN: 14871 0.127049
SN: 14979 0.176537
SN: 14984 0.195486
SN: 150254 0.275083
SN: 150455 0.063144
SN: 150457 0.303394
SN: 150509 0.292801
SN: 150522 0.230638
SN: 151034 0.132685
SN: 15129 0.196113
SN: 15132 0.153039
SN: 151425 0.327264
SN: 15161 0.248529
SN: 15170 0.394921
SN: 15171 0.138184
SN: 15201 0.207357
SN: 15203 0.203136
SN: 15213 0.310527
SN: 15217 0.380044
SN: 15219 0.246375
SN: 15222 0.198010
SN: 15229 0.225361
SN: 15234 0.135141
SN: 15259 0.208574
SN: 15287 0.236297
SN: 15340 0.146123
SN: 15354 0.220686
SN: 15356 0.273404
SN: 15365 0.186511
SN: 15369 0.232692
SN: 15383 0.314951
SN: 15421 0.184434
SN: 15425 0.159353
SN: 15433 0.219352
SN: 15440 0.261300
SN: 15443 0.181231
SN: 15453 0.182426
SN: 15456 0.380477
SN: 15459 0.125422
SN: 15461 0.184815
SN: 15466 0.244357
SN: 15467 0.208469
SN: 15508 0.133532
SN: 15583 0.174271
SN: 15584 0.283328
SN: 15648 0.173827
SN: 15674 0.195545
SN: 15704 0.369523
